Batch No.,Serial No.,Cathode Lum. Sens.,Anode Lum. Sens.,Anode Dark Current,Cathode Blue Sens.,Supply Voltage,Peak to Valley Ratio,Dark Count,TTS,QE @ 390 nm,QE @ 450 nm, num
1,KM52253,113,429,2.9,11.4,1020,3.70,190,1.46,28.6,26.2,1
2,KM52440,93,333,2.5,10.6,1030,3.77,150,1.38,27.1,24.5,2
3,KM52543,101,363,2.6,10.8,1030,3.35,150,1.41,27.2,24.8,3
4,KM52544,100,385,1.6,10.8,1010,3.47,150,1.37,27.2,24.7,4
5,KM52979,105,254,0.9,11.1,1090,3.72,140,1.33,28.0,25.5,5
6,KM53250,109,404,3.4,11.3,1030,3.15,200,1.38,28.4,26.0,6
7,KM53536,124,379,1.8,11.9,1050,3.47,180,1.49,29.3,26.9,7
8,KM53552,100,367,1.9,10.9,1020,3.22,160,1.31,27.1,24.7,8
9,KM53600,118,299,1.5,11.4,1080,2.55,240,1.52,28.5,26.3,9
10,KM53664,108,257,1.5,11.1,1100,3.52,170,1.44,28.3,25.8,10
11,KM53743,101,234,1.1,10.9,1110,3.04,160,1.49,27.4,25.0,11
12,KM53966,101,306,1.1,11.0,1050,3.46,210,1.39,27.4,24.8,12
13,KM53982,125,242,2.1,11.6,1130,3.74,270,1.51,28.6,26.5,13
14,KM54046,114,380,3.2,11.4,1030,3.62,220,1.33,28.4,26.1,14
15,KM54078,115,347,1.3,11.4,1050,3.05,300,1.59,28.4,25.9,15
16,KM54094,109,392,2.4,11.3,1020,3.43,190,1.42,28.4,25.9,16
17,KM54177,96,160,0.9,10.6,1140,3.31,260,1.40,27.0,24.5,17
18,KM54240,108,346,1.4,11.1,1040,3.56,210,1.32,28.1,25.7,18
19,KM54255,101,363,2.7,11.1,1020,3.69,180,1.44,27.9,25.3,19
20,KM54275,103,320,1.8,10.8,1050,3.66,230,1.43,27.4,25.0,20
21,KM54349,111,302,2.0,11.2,1070,3.44,180,1.31,28.1,25.7,21
22,KM54350,100,222,1.6,10.8,1110,2.38,390,1.40,27.4,24.8,22
23,KM54356,105,381,3.0,11.2,1020,3.19,140,1.37,28.2,25.6,23
24,KM54358,105,277,1.9,11.0,1060,2.91,230,1.36,27.7,25.2,24
25,KM54362,113,296,2.0,11.3,1080,3.77,190,1.35,28.6,26.3,25
26,KM54366,112,318,2.3,11.3,1060,3.61,180,1.46,28.2,25.8,26
27,KM54404,105,175,1.1,11.2,1150,3.43,200,1.44,28.3,25.8,27
28,KM54405,102,180,0.8,11.0,1140,3.49,410,1.39,27.7,25.2,28
29,KM54415,109,184,1.0,11.2,1150,3.43,190,1.40,28.1,25.8,29
30,KM54710,110,368,1.2,11.4,1040,3.27,190,1.72,28.8,26.1,30
31,KM54711,108,320,1.7,11.2,1060,2.81,240,1.77,28.2,25.8,31
32,KM54712,95,160,0.6,11.0,1150,3.69,140,1.60,27.9,25.1,32
33,KM54713,106,379,1.3,11.1,1030,3.32,200,1.62,28.3,25.7,33
34,KM54714,110,322,1.2,11.2,1060,3.12,330,1.64,28.8,26.3,34
35,KM54715,100,276,1.7,11.0,1060,2.62,280,1.74,28.1,25.4,35
36,KM54716,102,256,1.3,11.2,1090,3.82,150,1.52,28.5,25.7,36
37,KM54718,100,211,1.3,11.1,1110,3.81,150,1.48,28.0,25.2,37
38,KM54729,92,253,1.2,10.9,1070,3.01,150,1.55,27.9,24.8,38
39,KM54730,96,155,0.6,11.1,1170,3.63,240,1.58,28.2,25.2,39
40,KM54731,90,252,1.1,10.8,1070,3.37,110,1.61,27.5,24.5,40
41,KM54759,95,309,2.7,10.7,1040,3.67,170,,,,41
42,KM54762,105,269,2,10.9,1080,2.75,390,,,,42
43,KM54764,106,326,1.2,11,1040,3.08,260,,,,43
44,KM54766,96,223,1.1,10.6,1100,2.51,330,,,,44
45,KM54765,109,289,1.1,11.2,1060,2.82,290,,,,45
46,KM54767,106,402,1.4,11.2,1020,3.14,240,,,,46
47,KM54768,103,305,1.5,11,1060,3.09,270,,,,47
48,KM54769,99,311,1.3,10.8,1050,2.82,250,,,,48
49,KM54770,92,280,1.2,10.7,1050,3.14,170,,,,49
50,KM54772,105,359,2,11,1040,3.24,220,,,,50
51,KM54773,104,274,1.2,11.1,1080,2.95,250,,,,51
52,KM54776,105,232,1,11.1,1100,3.34,180,,,,52
53,KM54779,90,191,1.2,10.5,1110,2.69,200,,,,53
54,KM54781,96,187,1.2,10.7,1120,2.56,300,,,,54
55,KM54782,113,268,1.4,11.5,1090,3.45,210,,,,55
56,KM54784,104,179,0.6,11.2,1130,3.61,220,,,,56
57,KM54789,101,246,1.8,11,1070,2.99,240,,,,57
